id,property,reviewer_name,reviewer_country,rating,review_date,text_liked,text_disliked,raw_text,scraped_at,source_url
native:seed-Central Sydney-2,Central Sydney,Guest514,Singapore,6.0,2026-07-27,Excellent value for money compared to nearby hotels.,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.447313,
native:seed-Central Sydney-10,Central Sydney,Guest627,Australia,9.1,2026-07-26,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.482891,
native:seed-Central Sydney-22,Central Sydney,Guest787,New Zealand,7.4,2026-07-26,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.539299,
native:seed-Central Sydney-9,Central Sydney,Guest859,Singapore,8.2,2026-07-24,Wifi was fast and the breakfast spread was generous.,,,2026-08-04T02:07:05.478957,
native:seed-Central Sydney-4,Central Sydney,Guest368,Australia,8.8,2026-07-22,"Great location, walking distance to everything we needed.",,,2026-08-04T02:07:05.456954,
native:seed-Central Sydney-17,Central Sydney,Guest585,Singapore,7.1,2026-07-18,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.515021,
native:seed-Central Sydney-1,Central Sydney,Guest571,New Zealand,7.8,2026-07-17,Wifi was fast and the breakfast spread was generous.,,,2026-08-04T02:07:05.443308,
native:seed-Central Sydney-8,Central Sydney,Guest366,United States,7.2,2026-07-16,"Great location, walking distance to everything we needed.","Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.474707,
native:seed-Central Sydney-12,Central Sydney,Guest262,New Zealand,7.1,2026-07-16,Staff were incredibly friendly and check-in was quick.,,,2026-08-04T02:07:05.490858,
native:seed-Central Sydney-15,Central Sydney,Guest209,Singapore,9.1,2026-07-16,,,,2026-08-04T02:07:05.504096,
native:seed-Central Sydney-20,Central Sydney,Guest517,New Zealand,7.5,2026-07-11,Staff were incredibly friendly and check-in was quick.,Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.529646,
native:seed-Central Sydney-19,Central Sydney,Guest553,United States,4.9,2026-07-07,Wifi was fast and the breakfast spread was generous.,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.524967,
native:seed-Central Sydney-5,Central Sydney,Guest293,United States,5.6,2026-07-01,Staff were incredibly friendly and check-in was quick.,"Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.461212,
native:seed-Central Sydney-7,Central Sydney,Guest369,United Kingdom,7.4,2026-06-29,,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.470206,
native:seed-Central Sydney-0,Central Sydney,Guest783,United States,3.4,2026-06-28,Staff were incredibly friendly and check-in was quick.,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.438901,
native:seed-Central Sydney-6,Central Sydney,Guest597,Australia,7.7,2026-06-25,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.466004,
native:seed-Central Sydney-16,Central Sydney,Guest912,Australia,8.8,2026-06-20,,"Very noisy at night, could hear traffic through thin walls.",,2026-08-04T02:07:05.508878,
native:seed-Central Sydney-11,Central Sydney,Guest807,United Kingdom,5.9,2026-06-18,Room was spotless and the bed was very comfortable.,Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.486624,
native:seed-Central Sydney-13,Central Sydney,Guest752,United Kingdom,9.4,2026-06-18,,,,2026-08-04T02:07:05.494986,
native:seed-Central Sydney-21,Central Sydney,Guest756,Australia,6.2,2026-06-14,,Air conditioning was broken and maintenance never came.,,2026-08-04T02:07:05.534050,
native:seed-Central Sydney-24,Central Sydney,Guest103,Australia,9.0,2026-06-13,"Great location, walking distance to everything we needed.",,,2026-08-04T02:07:05.549941,
native:seed-Central Sydney-3,Central Sydney,Guest349,United Kingdom,5.9,2026-06-12,,Front desk staff were rude when we asked about late checkout.,,2026-08-04T02:07:05.451698,
native:seed-Central Sydney-14,Central Sydney,Guest943,Australia,8.4,2026-06-10,,"Very noisy at night, could hear traffic through thin walls.",,2026-08-04T02:07:05.499132,
native:seed-Central Sydney-23,Central Sydney,Guest133,Australia,7.1,2026-06-10,Excellent value for money compared to nearby hotels.,Air conditioning was broken and maintenance never came.,,2026-08-04T02:07:05.545257,
native:seed-Central Sydney-18,Central Sydney,Guest880,United Kingdom,3.7,2026-06-09,Room was spotless and the bed was very comfortable.,"Very noisy at night, could hear traffic through thin walls.",,2026-08-04T02:07:05.519751,
native:seed-Darling Harbour-10,Darling Harbour,Guest531,Japan,4.1,2026-08-04,,"Very noisy at night, could hear traffic through thin walls.",,2026-08-04T02:07:05.610484,
native:seed-Darling Harbour-15,Darling Harbour,Guest437,Australia,9.5,2026-08-02,"Great location, walking distance to everything we needed.","Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.636376,
native:seed-Darling Harbour-16,Darling Harbour,Guest587,Australia,3.5,2026-07-28,"Great location, walking distance to everything we needed.",Front desk staff were rude when we asked about late checkout.,,2026-08-04T02:07:05.641845,
native:seed-Darling Harbour-11,Darling Harbour,Guest126,New Zealand,9.2,2026-07-24,Staff were incredibly friendly and check-in was quick.,,,2026-08-04T02:07:05.614922,
native:seed-Darling Harbour-21,Darling Harbour,Guest820,United States,8.5,2026-07-22,Wifi was fast and the breakfast spread was generous.,Air conditioning was broken and maintenance never came.,,2026-08-04T02:07:05.664264,
native:seed-Darling Harbour-9,Darling Harbour,Guest969,Japan,7.1,2026-07-20,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.605342,
native:seed-Darling Harbour-20,Darling Harbour,Guest724,Australia,9.2,2026-07-18,,"Very noisy at night, could hear traffic through thin walls.",,2026-08-04T02:07:05.660115,
native:seed-Darling Harbour-7,Darling Harbour,Guest793,United Kingdom,9.4,2026-07-17,,,,2026-08-04T02:07:05.592640,
native:seed-Darling Harbour-3,Darling Harbour,Guest352,Singapore,8.0,2026-07-11,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.572549,
native:seed-Darling Harbour-18,Darling Harbour,Guest586,New Zealand,7.3,2026-07-08,,,,2026-08-04T02:07:05.651646,
native:seed-Darling Harbour-0,Darling Harbour,Guest979,United Kingdom,3.3,2026-07-04,Excellent value for money compared to nearby hotels.,"Very noisy at night, could hear traffic through thin walls.",,2026-08-04T02:07:05.555783,
native:seed-Darling Harbour-8,Darling Harbour,Guest635,New Zealand,8.3,2026-07-04,,,,2026-08-04T02:07:05.599892,
native:seed-Darling Harbour-5,Darling Harbour,Guest720,United Kingdom,8.9,2026-07-01,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.583026,
